533,31,56133,CLIENTE 1,41854274761,733067,20221227,5,"R$ 83.720,19",777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,2,Original,0,20220406,"R$ 17.524,03","R$ 29.196,96","R$ 536,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 47.257,39",Aberta,Vencida,O documento de cpf informado não é válido,O valor das prestações não é coerente.,A multa não está aplicada corretamente.
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,"R$ 83.720,19",777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,3,Original,0,20241113,"R$ 98.750,27","R$ 43.130,98","R$ 77.238,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 219.119,62",Aberta,Vencida,O documento de cpf informado não é válido,O valor das prestações é coerente.,A multa está aplicada corretamente.
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,"R$ 83.720,19",777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,4,Original,0,20221004,"R$ 55.430,51","R$ 21.312,43","R$ 76.817,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 153.560,03",Aberta,Vencida,O documento de cpf informado não é válido,O valor das prestações é coerente.,A multa não está aplicada corretamente.
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,"R$ 83.720,19",777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,5,Original,0,20230925,"R$ 88.297,91","R$ 48.666,68","R$ 87.550,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 224.515,33",Aberta,Vencida,O documento de cpf informado não é válido,O valor das prestações é coerente.,A multa não está aplicada corretamente.
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,"R$ 83.720,19",777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,6,Original,0,20231023,"R$ 43.609,60","R$ 15.383,17","R$ 39.056,15","R$ 0,00","R$ 0,00","R$ 0,00","R$ 98.048,92",Aberta,Vencida,O documento de cpf informado não é válido,O valor das prestações é coerente.,A multa não está aplicada corretamente.
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,"R$ 49.396,22",1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,2,Original,0,20230502,"R$ 54.815,71","R$ 69.011,51","R$ 87.297,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 211.124,42",Aberta,Vencida,O documento de cnpj informado não é válido,O valor das prestações é coerente.,A multa não está aplicada corretamente.
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,"R$ 49.396,22",1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,3,Original,0,20240624,"R$ 11.927,09","R$ 8.993,54","R$ 55.743,14","R$ 0,00","R$ 0,00","R$ 0,00","R$ 76.663,77",Aberta,Vencida,O documento de cnpj informado não é válido,O valor das prestações não é coerente.,A multa não está aplicada corretamente.
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,"R$ 49.396,22",1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,4,Original,0,20220706,"R$ 27.447,07","R$ 85.413,37","R$ 19.757,46","R$ 0,00","R$ 0,00","R$ 0,00","R$ 132.617,90",Aberta,Vencida,O documento de cnpj informado não é válido,O valor das prestações não é coerente.,A multa não está aplicada corretamente.
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,"R$ 49.396,22",1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,5,Original,0,20230917,"R$ 68.868,05","R$ 34.423,42","R$ 16.702,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 119.994,21",Aberta,Vencida,O documento de cnpj informado não é válido,O valor das prestações é coerente.,A multa não está aplicada corretamente.
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,"R$ 49.396,22",1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,6,Original,0,20240714,"R$ 93.463,14","R$ 70.230,19","R$ 77.932,46","R$ 0,00","R$ 0,00","R$ 0,00","R$ 241.625,79",Aberta,Vencida,O documento de cnpj informado não é válido,O valor das prestações é coerente.,A multa não está aplicada corretamente.
